id,brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
28671,bmw,BMW X1,silver,04/2010,2010,10000-20000 EUR,110.0,150.0,Manual,Petrol,"8,2 l/100 km",191 g/km,100000.0,sDrive 18i*Xenon*8Fach bereift*
35091,bmw,BMW 750,black,07/2016,2016,10000-20000 EUR,330.0,449.0,Automatic,Petrol,,#NAME?,141881.0,Li xDrive*LANG*M-Performance*FACELIFT UMBAU*
154416,opel,Opel Corsa,orange,01/2020,2020,10000-20000 EUR,55.0,75.0,Manual,Petrol,"5,3 l/100 km",120 g/km,26974.0,F 1.2 EDITION Sitz-u Lenkradheizung
234821,volkswagen,Volkswagen Caddy,silver,03/2017,2017,10000-20000 EUR,75.0,102.0,Manual,Diesel,"4,1 l/100 km",107 g/km,22342.0,2.0TDI BMEcoProfi NaviKlimaut akt PDC Sitzh
171617,renault,Renault Kadjar,black,05/2017,2017,10000-20000 EUR,96.0,131.0,Manual,Petrol,"5,9 l/100 km",126 g/km,63679.0,1.2 TCe 131PS Life Klima-Automatik Tempo
144219,opel,Opel Astra,red,05/2014,2014,10000-20000 EUR,121.0,165.0,Manual,Diesel,"5,8 l/100 km",154 g/km,115636.0,J 2.0 16V DCTI Sports Tourer Exklusiv/Navi
240038,volkswagen,Volkswagen Passat Variant,white,07/2019,2019,10000-20000 EUR,110.0,150.0,Manual,Diesel,"5,3 l/100 km",139 g/km,122999.0,2.0 TDI BMT Trendline Klima eSP eFe ZV Klima
230854,volkswagen,Volkswagen Tiguan,silver,02/2015,2015,10000-20000 EUR,118.0,160.0,Automatic,Petrol,"7,1 l/100 km",164 g/km,38754.0,1.4 TSi BMT DSG ~ Klimatr. ~ AHK ~PDC
191538,skoda,Skoda Octavia,black,11/2015,2015,10000-20000 EUR,135.0,184.0,Manual,Diesel,"4,6 l/100 km",122 g/km,162000.0,RS Combi (5E5)
76460,honda,Honda Civic,brown,09/2014,2014,10000-20000 EUR,104.0,141.0,Manual,Petrol,"6,1 l/100 km",145 g/km,48500.0,1.8 i-VTEC Sport
148048,opel,Opel Astra,silver,01/2017,2017,10000-20000 EUR,100.0,136.0,Automatic,Diesel,,0 g/km,150500.0,Sports Tourer 1.6 CDTI INNOVATION mit Navi Inkl. I
229175,volkswagen,Volkswagen Golf Cabriolet,white,01/2014,2014,10000-20000 EUR,90.0,122.0,Manual,Petrol,"6,4 l/100 km",149 g/km,80000.0,Cabrio 1.4 TSI Life
74127,ford,Ford Fiesta,grey,02/2022,2022,10000-20000 EUR,92.0,125.0,Manual,Petrol,5 l/100 km,114 g/km,7992.0,Titanium 1.0 mHEV LED SYNC3Light
204832,smart,smart forTwo,white,10/2019,2019,10000-20000 EUR,52.0,71.0,Automatic,Petrol,,#NAME?,58952.0,52 KW twinamic*PANO*SHZG*NAVI*BTH*TEMPOMAT*KLIMAAU
184662,seat,SEAT Arona,white,09/2020,2020,10000-20000 EUR,85.0,116.0,Automatic,Petrol,5 l/100 km,114 g/km,27955.0,Style (KJ7)1.Hand/Klimaautomatik/SHZ/Tempomat/
14474,audi,Audi A3,blue,03/2018,2018,10000-20000 EUR,85.0,116.0,Manual,Diesel,"4,2 l/100 km",109 g/km,159000.0,Sportback Sport+BI-XENON+NAVI+PDC+ALU
130384,mini,MINI One,white,01/2016,2016,10000-20000 EUR,75.0,102.0,Manual,Petrol,"4,8 l/100 km",114 g/km,106503.0,Mini 3-trg. One Metropolitan**PDC**SHZ**Blue
78334,hyundai,Hyundai i30,red,05/2015,2015,10000-20000 EUR,74.0,101.0,Manual,Petrol,"5,6 l/100 km",133 g/km,150500.0,YES! 1.4 Benzin Schaltgetriebe *Top Zustand*
160397,peugeot,Peugeot 3008,white,12/2016,2016,10000-20000 EUR,96.0,131.0,Manual,Petrol,"5,1 l/100 km",117 g/km,85000.0,3008 PureTech 130 Stop
191685,skoda,Skoda Yeti,white,07/2015,2015,10000-20000 EUR,81.0,110.0,Automatic,Petrol,"5,5 l/100 km",130 g/km,64000.0,"1.2 TSI EU6, Edition Green tec"
230759,volkswagen,Volkswagen Passat,silver,05/2015,2015,10000-20000 EUR,110.0,150.0,Manual,Petrol,"4,9 l/100 km",115 g/km,53030.0,"1,4 TSI Comfortline*NAVI*PDC*AHK*SHZ*Tempomat..."
133594,mitsubishi,Mitsubishi Outlander,black,12/2016,2016,10000-20000 EUR,110.0,150.0,Manual,Unknown,,#NAME?,75300.0,2.0 2WD
108579,mercedes-benz,Mercedes-Benz C 55 AMG,black,10/2009,2009,10000-20000 EUR,270.0,367.0,Automatic,Petrol,"12,3 l/100 km",293 g/km,166000.0,KLIMA  GSD LEDER NAVI BI-XENON 387-PS
169774,renault,Renault Megane,black,03/2012,2012,10000-20000 EUR,96.0,131.0,Manual,Diesel,"5,1 l/100 km",#NAME?,132000.0,Grandtour dCi 130 FAP Luxe
135317,nissan,Nissan Juke,grey,03/2016,2016,10000-20000 EUR,85.0,116.0,Manual,Petrol,"5,7 l/100 km",135 g/km,72939.0,1.2 N-Connecta KLIMA SHZ KAMERA NAVI
236668,volkswagen,Volkswagen Polo,red,06/2018,2018,10000-20000 EUR,147.0,200.0,Automatic,Petrol,"5,9 l/100 km",134 g/km,38066.0,GTI 2.0 16V Navi Discover Media & Kamera + Winterr
207180,toyota,Toyota C-HR,silver,09/2017,2017,10000-20000 EUR,85.0,116.0,Manual,Petrol,"5,9 l/100 km",135 g/km,24000.0,1.2 Turbo
55330,fiat,Fiat 500C,green,03/2020,2020,10000-20000 EUR,51.0,69.0,Manual,Petrol,"5,5 l/100 km",#NAME?,37500.0,500 C Lounge Tempomat Carplay
72027,ford,Ford Focus,silver,06/2020,2020,10000-20000 EUR,88.0,120.0,Manual,Diesel,"3,7 l/100 km",97 g/km,165000.0,Turnier*KLIMA*MFL*SITZHEIZUNG*TEMPOMAT*PDC
230724,volkswagen,Volkswagen Golf,silver,01/2015,2015,10000-20000 EUR,90.0,122.0,Manual,Petrol,,0 g/km,86316.0,VII 1.4 BlueMotion Comf.
9428,audi,Audi A6,white,11/2014,2014,10000-20000 EUR,150.0,204.0,Automatic,Diesel,"5,3 l/100 km",140 g/km,141100.0,Lim. 3.0 TDI Bi-Xenon NAVI FINANZIERUNG
106124,mercedes-benz,Mercedes-Benz ML 320,black,10/2006,2006,10000-20000 EUR,165.0,224.0,Automatic,Diesel,"9,4 l/100 km",#NAME?,198000.0,CDI 4Matic -R®πCKFAHRKAMERA / Sportpaket (Black)
156937,opel,Opel Mokka,silver,12/2022,2022,10000-20000 EUR,100.0,136.0,Automatic,Electric,,0 g/km,521.0,-e GS Line NAVI+Rueckfahr Park & Go Sitzhe.
232709,volkswagen,Volkswagen Golf,silver,11/2016,2016,10000-20000 EUR,92.0,125.0,Automatic,Petrol,"5,1 l/100 km",118 g/km,65600.0,VII 1.4 TSI Highline Xenon GRA Standheizung Navi
38292,bmw,BMW X1,white,08/2018,2018,10000-20000 EUR,141.0,192.0,Automatic,Petrol,"6,2 l/100 km",141 g/km,53072.0,xDrive20i Adv/Autom/Navi/LED/Sitzhz/PDC
78362,hyundai,Hyundai TUCSON,black,12/2015,2015,10000-20000 EUR,130.0,177.0,Automatic,Petrol,"7,6 l/100 km",175 g/km,73500.0,Premium 4WD VOLL l LEDER l NAVI l 1.HAND
129989,mini,MINI Cooper S Paceman,black,06/2014,2014,10000-20000 EUR,135.0,184.0,Manual,Petrol,"6,7 l/100 km",#NAME?,87000.0,COOPER  S Countryman All4  JCW Kit/Navi
112449,mercedes-benz,Mercedes-Benz E 300,blue,02/2013,2013,10000-20000 EUR,150.0,204.0,Automatic,Diesel Hybrid,"4,1 l/100 km",#NAME?,177000.0,E 400 Coupe 7G-TRONIC
232857,volkswagen,Volkswagen up!,silver,06/2016,2016,10000-20000 EUR,55.0,75.0,Automatic,Petrol,"4,5 l/100 km",105 g/km,24000.0,ASG move
210811,toyota,Toyota Aygo X,green,11/2022,2022,10000-20000 EUR,53.0,72.0,Manual,Petrol,"4,7 l/100 km",112 g/km,1000.0,Pulse 1.0*CARPLAY*CAM*TEMPOMAT*KLIMA*
61737,ford,Ford S-Max,blue,03/2014,2014,10000-20000 EUR,103.0,140.0,Automatic,Diesel,"5,7 l/100 km",149 g/km,190000.0,S-Max 2.0 TDCi DPF Aut. Business Edition
49569,dacia,Dacia Logan,beige,07/2020,2020,10000-20000 EUR,66.0,90.0,Manual,Petrol,"5,5 l/100 km",126 g/km,68500.0,"MCV 0.9 TCe Stepway *Navi,Klima,PDC*"
235138,volkswagen,Volkswagen Polo,white,03/2017,2017,10000-20000 EUR,66.0,90.0,Manual,Petrol,"4,7 l/100 km",107 g/km,84400.0,Match BMT/Start-Stopp V mit Klima/Navi/PDC/ESP/
56569,fiat,Fiat 500,red,07/2022,2022,10000-20000 EUR,52.0,71.0,Manual,Hybrid,"4,6 l/100 km",106 g/km,99.0,1.0 GSE HYBRID RED BEATS PDC NAVI KLIMAAUTOMATIK
66990,ford,Ford Fiesta,grey,03/2018,2018,10000-20000 EUR,92.0,125.0,Manual,Petrol,"4,6 l/100 km",#NAME?,55000.0,Fiesta 1.0 EcoBoost S
161629,peugeot,Peugeot 208,grey,07/2019,2019,10000-20000 EUR,60.0,82.0,Manual,Petrol,"4,8 l/100 km",109 g/km,47600.0,"Active 1.2 12V VTi PureTech 82 EU6d-T, PDC, Sitzhe"
228496,volkswagen,Volkswagen Golf,black,10/2014,2014,10000-20000 EUR,92.0,125.0,Automatic,Petrol,5 l/100 km,116 g/km,89546.0,VII Cup 1.4 TSI DSG ParkAss. LM 2xKlima PDC
110590,mercedes-benz,Mercedes-Benz GLK 250,grey,01/2011,2011,10000-20000 EUR,150.0,204.0,Automatic,Diesel,7 l/100 km,183 g/km,195000.0,CDI 4-Matic BE AMG Paket 7G NAVI~XENON~
152330,opel,Opel Crossland X,silver,05/2019,2019,10000-20000 EUR,61.0,83.0,Manual,Petrol,,0 g/km,71000.0,"Edition 1.2 Benzin, Euro6, Klima"
9208,audi,Audi A3,black,07/2014,2014,10000-20000 EUR,110.0,150.0,Manual,Petrol,"4,7 l/100 km",111 g/km,114302.0,1.4 Sportback~ACC~Leder~Einparkassist~EURO6
246222,volkswagen,Volkswagen up!,black,03/2023,2023,10000-20000 EUR,48.0,65.0,Manual,Petrol,"4,3 l/100 km",98 g/km,183.0,"1,0 Active CLIMA BLUETOOTH SITZHZG DAB+ LM16"""
56364,fiat,Fiat 500C,green,09/2022,2022,10000-20000 EUR,51.0,69.0,Manual,Hybrid,"4,1 l/100 km",93 g/km,99.0,Dolcevita*KLIMA*DAB*PDC*CARPLAY*
57063,fiat,Fiat 500C,green,05/2023,2023,10000-20000 EUR,51.0,69.0,Manual,Hybrid,"4,1 l/100 km",93 g/km,15.0,MY22 1.0 GSE Hybrid DOLCEVITA 51kW (70PS)
49559,dacia,Dacia Duster,orange,04/2019,2019,10000-20000 EUR,85.0,116.0,Manual,Diesel,,137 g/km,79300.0,Klimaauto. Navi Einparkhilfe Sitzheizung
78147,hyundai,Hyundai i20,white,11/2014,2014,10000-20000 EUR,63.0,86.0,Manual,Petrol,"4,9 l/100 km",#NAME?,128000.0,i20 1.2 Fifa World Cup Edition
81404,hyundai,Hyundai i30,white,10/2019,2019,10000-20000 EUR,73.0,99.0,Manual,Petrol,"6,2 l/100 km",180 g/km,22238.0,Kombi 1.4 Select Klima Tempomat
154961,opel,Opel Corsa,grey,09/2021,2021,10000-20000 EUR,55.0,75.0,Manual,Petrol,"5,6 l/100 km",127 g/km,5230.0,F 1.2 Edition KLIMA PDC SITZHEIZUNG
180389,seat,SEAT Leon,grey,11/2018,2018,10000-20000 EUR,85.0,116.0,Manual,Petrol,"4,8 l/100 km",109 g/km,56561.0,1.0 TSI Style
227857,volkswagen,Volkswagen Caddy,grey,05/2014,2014,10000-20000 EUR,103.0,140.0,Automatic,Diesel,"5,9 l/100 km",#NAME?,134100.0,Caddy 2.0 TDI DSG Automatik AHK 140PS T®πV NEU
33456,bmw,BMW 520,grey,10/2015,2015,10000-20000 EUR,140.0,190.0,Manual,Diesel,"4,6 l/100 km",122 g/km,102000.0,d Touring Navi Klimaautomatik Lenkradheizung
49028,dacia,Dacia Lodgy,white,03/2018,2018,10000-20000 EUR,80.0,109.0,Manual,Diesel,4 l/100 km,105 g/km,90000.0,Stepway/7 SITZ/NAVI/KAMERA/TEMPOMAT/SHZG
10276,audi,Audi A1,grey,10/2015,2015,10000-20000 EUR,92.0,125.0,Manual,Petrol,"5,1 l/100 km",115 g/km,118398.0,1.4 TFSI*PDC*NAVI*SHZ*TEMPO*KLIMA*
193032,skoda,Skoda Octavia,black,11/2017,2017,10000-20000 EUR,110.0,150.0,Manual,Petrol,"5,3 l/100 km",124 g/km,105728.0,Combi Drive
44828,citroen,Citroen C4 Cactus,white,10/2017,2017,10000-20000 EUR,60.0,82.0,Manual,Petrol,"4,6 l/100 km",109 g/km,32758.0,Shine Navi Panoramadach T®πv 04/2025
114916,mercedes-benz,Mercedes-Benz E 200,silver,03/2014,2014,10000-20000 EUR,100.0,136.0,Automatic,Diesel,,#NAME?,195000.0,"Avantgarde, Limo, 7g Autom, Navi, Leder, LED"
29888,bmw,BMW 330,white,02/2011,2011,10000-20000 EUR,200.0,272.0,Automatic,Petrol,"9,4 l/100 km",227 g/km,220106.0,i  Cabrio M Packet  Aut.*Navi*Vollleder*
238830,volkswagen,Volkswagen Golf,grey,03/2019,2019,10000-20000 EUR,85.0,116.0,Automatic,Petrol,"4,8 l/100 km",109 g/km,13955.0,VII Lim. Trendline - 1. Hand wenig km
232125,volkswagen,Volkswagen Tiguan,grey,05/2016,2016,10000-20000 EUR,110.0,150.0,Automatic,Diesel,"5,7 l/100 km",150 g/km,145000.0,Lounge Sport & Style BMT 4Motion DSG EU6
108957,mercedes-benz,Mercedes-Benz CLS 320,silver,06/2009,2009,10000-20000 EUR,165.0,224.0,Automatic,Diesel,"7,6 l/100 km",201 g/km,179643.0,"CDI,Alu,Scheckheft,Garantie,TUV-AU Neu"
181304,seat,SEAT Arona,white,03/2018,2018,10000-20000 EUR,85.0,116.0,Automatic,Petrol,5 l/100 km,113 g/km,53500.0,Xcellence 1.0 TSI AHK-abnehmbar AHK Navi LED Schei
30817,bmw,BMW X1,white,04/2012,2012,10000-20000 EUR,105.0,143.0,Automatic,Diesel,"6,2 l/100 km",164 g/km,122915.0,xDrive 18d / Automatik / Allrad / Leder
